text,intent,language
terminal kholo,AUTOMATION,hinglish
Delhi ka current weather kya hai,REAL_TIME,hinglish
open the camera,AUTOMATION,english
sound settings kholo,AUTOMATION,hinglish
What is IoT?,GENERAL,english
encryption kya hoti hai,GENERAL,hinglish
abhi check karo abhi weather kaisa hai abhi,REAL_TIME,hinglish
what is the AQI in Delhi right now,REAL_TIME,english
volume badhao,AUTOMATION,hinglish
what is the latest Microsoft news,REAL_TIME,english
program start karo,AUTOMATION,hinglish
aaj AQI kitna hai,REAL_TIME,hinglish
mujhe batao machine learning kya hai achhe se,GENERAL,hinglish
open pictures,AUTOMATION,english
abhi kya trending hai,REAL_TIME,hinglish
aage jao,AUTOMATION,hinglish
Explain computer vision,GENERAL,english
aaj flights delay hain kya,REAL_TIME,hinglish
"Jarvis, open chrome for me",AUTOMATION,english
How does Wi-Fi work?,GENERAL,english
maximize the window,AUTOMATION,english
are flights delayed today,REAL_TIME,english
What is a compiler?,GENERAL,english
what is the score right now,REAL_TIME,english
Chrome kholo aur Google par search karo,AUTOMATION,hinglish
How does Bluetooth work?,GENERAL,english
put the computer to sleep,AUTOMATION,english
abhi bitcoin ka price kya hai,REAL_TIME,hinglish
what is the current weather in Manali,REAL_TIME,english
robotics samjhao,GENERAL,hinglish
diesel ka current price kya hai,REAL_TIME,hinglish
private tab kholo,AUTOMATION,hinglish
connect to wifi,AUTOMATION,english
open calculator and calculate,AUTOMATION,english
Jaipur ka current weather kya hai,REAL_TIME,hinglish
"Jarvis, chrome kholo abhi",AUTOMATION,hinglish
mouse settings kholo,AUTOMATION,hinglish
Tell me what is the weather right now right now,REAL_TIME,english
sensors samjhao,GENERAL,hinglish
What is tokenization?,GENERAL,english
What is an actuator?,GENERAL,english
loss function kya hai,GENERAL,hinglish
What is recursion used for?,GENERAL,english
time complexity kya hoti hai,GENERAL,hinglish
mujhe batao machine learning kya hai,GENERAL,hinglish
activation function kya hota hai,GENERAL,hinglish
What is DNA?,GENERAL,english
live score kya hai,REAL_TIME,hinglish
what is the latest news about AI,REAL_TIME,english
aaj sunrise kab hai,REAL_TIME,hinglish
array kya hai,GENERAL,hinglish
Why is the sky blue?,GENERAL,english
open chrome,AUTOMATION,english
abstraction kya hai,GENERAL,hinglish
dynamic programming kya hai,GENERAL,hinglish
What is authorization?,GENERAL,english
copy the selected text,AUTOMATION,english
what is the current market trend,REAL_TIME,english
aaj kaun se shows trending hain,REAL_TIME,hinglish
what is tomorrow's weather forecast,REAL_TIME,english
what is bitcoin price right now,REAL_TIME,english
increase the volume,AUTOMATION,english
gradient descent samjhao,GENERAL,hinglish
chatbot kaise kaam karta hai,GENERAL,hinglish
open notepad,AUTOMATION,english
What is natural language processing?,GENERAL,english
copy this file,AUTOMATION,english
foreign key kya hoti hai,GENERAL,hinglish
pichhli window par jao,AUTOMATION,hinglish
computer memory kya hoti hai,GENERAL,hinglish
recursion ka use kya hai,GENERAL,hinglish
What is a data structure?,GENERAL,english
open sound settings,AUTOMATION,english
file band karo,AUTOMATION,hinglish
backpropagation kya hai,GENERAL,hinglish
please samjhao machine learning kya hai simple language mein,GENERAL,hinglish
open keyboard settings,AUTOMATION,english
